time (seconds),encoderLeft (meters),encoderRight (meters)
187.702,0.02131878398358822,-0.02591719478368759
187.801,0.023666800931096077,-0.028268683701753616
187.901,0.02601485885679722,-0.030620133504271507
188.002,0.02836286835372448,-0.032971642911434174
188.102,0.030710868537425995,-0.0353231281042099
188.2,0.03305894136428833,-0.03767459839582443
188.302,0.03540697321295738,-0.040026042610406876
188.401,0.03775502368807793,-0.0423775352537632
188.5,0.0401029959321022,-0.04472905769944191
188.601,0.04245101660490036,-0.04708053916692734
188.702,0.0447990819811821,-0.04943199083209038
188.8,0.04714708402752876,-0.051783476024866104
188.901,0.049495112150907516,-0.05413496866822243
189,0.05184316262602806,-0.05648641660809517
189.099,0.054191168397665024,-0.05883793160319328
189.201,0.05653919279575348,-0.061189379543066025
189.301,0.05888722464442253,-0.06354086101055145
189.399,0.06123523786664009,-0.06589235365390778
189.5,0.06358329951763153,-0.0682438462972641
189.6,0.06593131273984909,-0.07059531658887863
189.701,0.06827933341264725,-0.07294680178165436
189.797,0.07062738388776779,-0.0752982646226883
189.904,0.07297540456056595,-0.07764974981546402
190.001,0.07532347738742828,-0.08000118285417557
190.101,0.07767149060964584,-0.08235268294811249
190.183,0.080019511282444,-0.08470416814088821
190.301,0.08236752450466156,-0.08705565333366394
190.399,0.0847155749797821,-0.08940707892179489
190.501,0.08706362545490265,-0.09175855666399002
190.599,0.08941159397363663,-0.09411007165908813
190.697,0.09175964444875717,-0.09646154940128326
190.797,0.09410768747329712,-0.09881298989057541
190.901,0.09645568579435349,-0.10116450488567352
191.001,0.09880375117063522,-0.10351594537496567
191.101,0.10115175694227219,-0.1058674305677414
191.201,0.10349979996681213,-0.10821887850761414
191.3,0.1058478057384491,-0.11057037860155106
191.401,0.10819584131240845,-0.11292187124490738
191.5,0.11054385453462601,-0.1152733713388443
191.601,0.11289187520742416,-0.11762484163045883
191.701,0.1152399405837059,-0.11997628957033157
191.801,0.11758795380592346,-0.1223277822136879
191.901,0.11993599683046341,-0.12467925250530243
192,0.12228401750326157,-0.12703074514865875
192.101,0.12463206052780151,-0.1293821781873703
192.201,0.12698009610176086,-0.13173365592956543
192.3,0.12932810187339783,-0.13408513367176056
192.401,0.1316761076450348,-0.1364366114139557
192.498,0.13402414321899414,-0.13878808915615082
192.601,0.13637219369411469,-0.14113953709602356
192.701,0.13872018456459045,-0.14349102973937988
192.801,0.1410682201385498,-0.1458425223827362
192.901,0.14341628551483154,-0.14819400012493134
193,0.14576424658298492,-0.15054549276828766
193.097,0.14811229705810547,-0.1528969556093216
193.201,0.15046028792858124,-0.15524843335151672
193.302,0.1528083235025406,-0.15759991109371185
193.4,0.15515635907649994,-0.15995138883590698
193.501,0.16515184938907623,-0.14995834231376648
193.599,0.17515067756175995,-0.13995978236198425
193.7,0.18514950573444366,-0.12996120750904083
193.801,0.1951483190059662,-0.11996263265609741
193.901,0.2051471471786499,-0.10996405780315399
194,0.21514596045017242,-0.09996548295021057
194.1,0.22514483332633972,-0.08996681123971939
194.204,0.23514366149902344,-0.0799681693315506
194.297,0.24514247477054596,-0.06996950507164001
194.402,0.25514131784439087,-0.05997079610824585
194.499,0.2651401460170746,-0.04997212439775467
194.601,0.2751390039920807,-0.03997338190674782
194.7,0.285137802362442,-0.029974717646837234
194.801,0.29513663053512573,-0.019976019859313965
194.9,0.30513548851013184,-0.00997730903327465
195.001,0.31513431668281555,0.000021391526388470083
195.101,0.3251331150531769,0.010020062327384949
195.2,0.3351319432258606,0.020018769428133965
195.301,0.3451308310031891,0.030017510056495667
195.399,0.3551296293735504,0.04001617431640625
195.498,0.36512845754623413,0.050014883279800415
195.597,0.37512731552124023,0.06001359969377518
195.702,0.38512617349624634,0.07001233100891113
195.8,0.39512497186660767,0.08001098781824112
195.901,0.4051238000392914,0.09000969678163528
196.001,0.4151226580142975,0.10000841319561005
196.102,0.4251214563846588,0.11000708490610123
196.201,0.43512028455734253,0.1200057789683342
196.301,0.44511911273002625,0.13000449538230896
196.401,0.45511797070503235,0.14000320434570312
196.501,0.46511679887771606,0.1500019133090973
196.601,0.4751156270503998,0.16000060737133026
196.701,0.48511451482772827,0.16999934613704681
196.799,0.4951133131980896,0.1799980252981186
196.9,0.5051121711730957,0.18999673426151276
197,0.515110969543457,0.19999544322490692
197.1,0.5251098275184631,0.2099941223859787
197.2,0.5351085662841797,0.21999278664588928
197.301,0.5451074242591858,0.22999146580696106
197.401,0.5551062226295471,0.23999013006687164
197.5,0.5651050209999084,0.24998880922794342
197.601,0.5751038193702698,0.259987473487854
197.7,0.5851026773452759,0.26998618245124817
197.801,0.595101535320282,0.2799849212169647
197.901,0.6051003336906433,0.2899836003780365
197.999,0.6150991320610046,0.2999822497367859
198.101,0.6250979900360107,0.30998095870018005
198.2,0.6350968480110168,0.3199796974658966
198.297,0.6450956463813782,0.3299783766269684
198.402,0.6550944447517395,0.33997708559036255
198.502,0.6650933027267456,0.3499757647514343
198.601,0.6750921010971069,0.3599744737148285
198.701,0.685090959072113,0.36997315287590027
198.802,0.6950897574424744,0.37997186183929443
198.893,0.7050885558128357,0.3899705410003662
199.001,0.7150874137878418,0.399969220161438
199.099,0.7250862121582031,0.40996789932250977
199.198,0.7350850105285645,0.41996660828590393
199.3,0.7450838685035706,0.4299653172492981
199.396,0.7550827264785767,0.43996402621269226
199.497,0.765081524848938,0.44996270537376404
199.601,0.7750803232192993,0.4599613845348358
199.701,0.7850791811943054,0.46996009349823
199.801,0.7950779795646667,0.47995877265930176
199.897,0.8050767779350281,0.48995745182037354
200,0.815075695514679,0.4999561905860901
200.101,0.8250744342803955,0.5099548697471619
200.201,0.8350732326507568,0.5199534893035889
200.3,0.8450720906257629,0.5299522280693054
200.401,0.8550708889961243,0.5399509072303772
200.501,0.8650696873664856,0.549949586391449
200.597,0.8750686049461365,0.5599483251571655
200.691,0.8850674033164978,0.5699470043182373
200.799,0.8950662612915039,0.5799457430839539
200.9,0.9050650000572205,0.5899443626403809
201.007,0.9150638580322266,0.5999431014060974
201.102,0.9250627160072327,0.6099417805671692
201.201,0.935061514377594,0.619940459728241
201.3,0.9450603723526001,0.6299391984939575
201.401,0.9550591707229614,0.6399378180503845
201.501,0.9650579690933228,0.6499364972114563
201.601,0.9750567674636841,0.6599352359771729
201.699,0.9850556254386902,0.6699339151382446
201.802,0.9950544834136963,0.6799326539039612
201.9,1.0050532817840576,0.689931333065033
202.001,1.015052080154419,0.6999300122261047
202.101,1.0250508785247803,0.7099286913871765
202.201,1.0350497961044312,0.7199274301528931
202.301,1.0450485944747925,0.7299261093139648
202.397,1.0550473928451538,0.7399247884750366
202.501,1.0650463104248047,0.7499235272407532
202.602,1.075045108795166,0.759922206401825
202.7,1.0850439071655273,0.7699208855628967
202.801,1.0950427055358887,0.7799196243286133
202.9,1.1050416231155396,0.7899183630943298
203.001,1.1150404214859009,0.7999169826507568
203.098,1.1250392198562622,0.8099157214164734
203.204,1.1350380182266235,0.8199144005775452
203.302,1.1450369358062744,0.8299131393432617
203.401,1.1550357341766357,0.8399118185043335
203.501,1.165034532546997,0.8499104976654053
203.601,1.1750333309173584,0.859909176826477
203.7,1.1850322484970093,0.8699079155921936
203.798,1.1950310468673706,0.8799065947532654
